Date,Time,Day,Mouse,Hormone,Antibiotics,Full_Group,Weight_g
9/11/24,2:30 PM,D-4,616,PGH,ABX,PGH_ABX,19.6
9/12/24,2:15 PM,D-3,616,PGH,ABX,PGH_ABX,18.9
9/13/24,1:00 PM,D-2,616,PGH,ABX,PGH_ABX,19
9/14/24,3:00 PM,D-1,616,PGH,ABX,PGH_ABX,20
9/15/24,10:00 AM,D0,616,PGH,ABX,PGH_ABX,21.1
9/16/24,9:30 AM,D2,616,PGH,ABX,PGH_ABX,20.6
9/17/24,8:00 AM,D3 ,616,PGH,ABX,PGH_ABX,20.6
9/18/24,9:00 AM,D4,616,PGH,ABX,PGH_ABX,21
9/19/24,8:00 AM,D5,616,PGH,ABX,PGH_ABX,20.8
9/20/24,9:00 AM,D6,616,PGH,ABX,PGH_ABX,21.7
9/21/24,9:00 AM,D7,616,PGH,ABX,PGH_ABX,21.9
9/22/24,8:45 AM,D8,616,PGH,ABX,PGH_ABX,21.5
9/10/24,1:00 PM,D-2,701,PL,Non_ABX,PL_Non_ABX,16.9
9/11/24,12:00 PM,D-1,701,PL,Non_ABX,PL_Non_ABX,17.8
9/12/24,9:30 AM,D0,701,PL,Non_ABX,PL_Non_ABX,18.7
9/13/24,8:15 AM,D2,701,PL,Non_ABX,PL_Non_ABX,18.5
9/14/24,10:30 AM,D3,701,PL,Non_ABX,PL_Non_ABX,18.1
9/15/24,11:00 AM,D4,701,PL,Non_ABX,PL_Non_ABX,17.9
9/16/24,8:30 AM,D5,701,PL,Non_ABX,PL_Non_ABX,18.3
9/17/24,12:15 PM,D6,701,PL,Non_ABX,PL_Non_ABX,18.7
9/18/24,10:30 AM,D7,701,PL,Non_ABX,PL_Non_ABX,19.2
9/19/24,1:30 PM,D8,701,PL,Non_ABX,PL_Non_ABX,19
9/10/24,1:00 PM,D-2,702,PL,Non_ABX,PL_Non_ABX,20.1
9/11/24,12:00 PM,D-1,702,PL,Non_ABX,PL_Non_ABX,20.7
9/12/24,9:30 AM,D0,702,PL,Non_ABX,PL_Non_ABX,21.7
9/13/24,8:15 AM,D2,702,PL,Non_ABX,PL_Non_ABX,21.8
9/14/24,10:30 AM,D3,702,PL,Non_ABX,PL_Non_ABX,20.7
9/15/24,11:00 AM,D4,702,PL,Non_ABX,PL_Non_ABX,20.1
9/16/24,8:30 AM,D5,702,PL,Non_ABX,PL_Non_ABX,20.1
9/17/24,4:15 PM,D6,702,PL,Non_ABX,PL_Non_ABX,21
9/18/24,8:00 AM,D7,702,PL,Non_ABX,PL_Non_ABX,21.6
9/19/24,1:30 PM,D8,702,PL,Non_ABX,PL_Non_ABX,21.1
9/10/24,1:00 PM,D-2,703,PL,Non_ABX,PL_Non_ABX,19.9
9/11/24,12:00 PM,D-1,703,PL,Non_ABX,PL_Non_ABX,20
9/12/24,9:30 AM,D0,703,PL,Non_ABX,PL_Non_ABX,20.3
9/13/24,8:15 AM,D2,703,PL,Non_ABX,PL_Non_ABX,20.1
9/14/24,10:30 AM,D3,703,PL,Non_ABX,PL_Non_ABX,19.7
9/15/24,11:00 AM,D4,703,PL,Non_ABX,PL_Non_ABX,19.6
9/16/24,8:30 AM,D5,703,PL,Non_ABX,PL_Non_ABX,19.5
9/17/24,4:15 PM,D6,703,PL,Non_ABX,PL_Non_ABX,20.1
9/18/24,8:00 AM,D7,703,PL,Non_ABX,PL_Non_ABX,20
9/19/24,1:30 PM,D8,703,PL,Non_ABX,PL_Non_ABX,20
